Frequency,S11_Magnitude,
339610222,-15.03738777,
340943333,-15.17834704,
342276444,-15.38696757,
343609555,-15.75932299,
344942666,-16.27384221,
346275777,-16.92742,
347608888,-17.62682957,
348942000,-18.41827815,
350275111,-19.35476853,
351608222,-20.58510278,
352941333,-22.14533891,
354274444,-24.12331927,
355607555,-26.72472222,
356940666,-30.16955283,
358273777,-34.94564154,
359606888,-35.44174252,
360940000,-31.481091,
362273111,-28.33425493,
363606222,-25.8723888,
364939333,-23.96794569,
366272444,-22.4880922,
367605555,-21.30105168,
368938666,-20.27067928,
370271777,-19.29127829,
371604888,-18.2874972,
372938000,-17.26183031,
374271111,-16.31446587,
375604222,-15.57349009,
376937333,-14.96688065,
378270444,-14.49040723,
379603555,-14.01240696,
380936666,-13.52453564,
382269777,-13.01814654,
383602888,-12.5042265,
384936000,-11.94063463,
386269111,-11.37470217,
387602222,-10.85309341,
388935333,-10.38989074,
390268444,-9.98791381,
391601555,-9.652233294,
392934666,-9.339067451,
394267777,-8.978995873,
395600888,-8.534989148,
396934000,-8.321786658,
398267111,-8.219690897,
399600222,-8.056254721,
400933333,-7.899388912,
402266444,-7.733608034,
403599555,-7.631665387,
404932666,-7.584745201,
406265777,-7.506978325,
407598888,-7.436128461,
408932000,-7.409480317,
410265111,-7.345551401,
411598222,-7.314026003,
412931333,-7.284023224,
414264444,-7.272386327,
415597555,-7.298671483,
416930666,-7.35813413,
418263777,-7.464800775,
419596888,-7.56516443,
420930000,-7.651281734,
422263111,-7.714178457,
423596222,-7.778545093,
424929333,-7.869256196,
426262444,-7.985935041,
427595555,-8.112513623,
428928666,-8.211164126,
430261777,-8.254744552,
431594888,-8.292805767,
432928000,-8.336611299,
434261111,-8.374793862,
435594222,-8.394582262,
436927333,-8.41272036,
438260444,-8.434597929,
439593555,-8.427732994,
440926666,-8.389784602,
442259777,-8.35989656,
443592888,-8.367355103,
444926000,-8.385099124,
446259111,-8.408723062,
447592222,-8.422593802,
448925333,-8.468411621,
450258444,-8.545116752,
451591555,-8.612569793,
452924666,-8.680641825,
454257777,-8.778980789,
455590888,-8.922370492,
456924000,-9.076143435,
458257111,-9.204821855,
459590222,-9.327036747,
460923333,-9.49911391,
462256444,-9.711040663,
463589555,-9.958086796,
464922666,-10.21216917,
466255777,-10.4545331,
467588888,-10.7227438,
468922000,-11.04249751,
470255111,-11.35278346,
471588222,-11.6582217,
472921333,-11.94346344,
474254444,-12.17757061,
475587555,-12.39814209,
476920666,-12.55627023,
478253777,-12.67057332,
479586888,-12.73302274,
480920000,-12.82177672,
482253111,-12.92204863,
483586222,-13.00847169,
484919333,-13.00809333,
486252444,-12.96518465,
487585555,-12.9292118,
488918666,-12.8844973,
490251777,-12.88267982,
491584888,-12.91866406,
492918000,-12.93083322,
494251111,-12.87566829,
495584222,-12.79768007,
496917333,-12.630428,
498250444,-12.41531745,
499583555,-12.19526512,
500916666,-11.93603323,
502249777,-11.6176319,
503582888,-11.32784057,
504916000,-11.06426178,
506249111,-10.77378854,
507582222,-10.5056224,
508915333,-10.28654083,
510248444,-10.08641437,
511581555,-9.911336338,
512914666,-9.766804635,
514247777,-9.635226272,
515580888,-9.53367836,
516914000,-9.432202805,
518247111,-9.327957428,
519580222,-9.185492122,
520913333,-9.00422834,
522246444,-8.802823489,
523579555,-8.577746266,
524912666,-8.318279019,
526245777,-8.04761006,
527578888,-7.761852742,
528912000,-7.489958511,
530245111,-7.248972315,
531578222,-7.030808631,
532911333,-6.832119174,
534244444,-6.655211476,
535577555,-6.50150236,
536910666,-6.373071587,
538243777,-6.251857922,
539576888,-6.13010493,
540910000,-6.004924933,
542243111,-5.908283141,
543576222,-5.809672599,
544909333,-5.728623449,
546242444,-5.660790085,
547575555,-5.600848397,
548908666,-5.549622053,
550241777,-5.504753294,
551574888,-5.458187518,
552908000,-5.402818678,
554241111,-5.338033637,
555574222,-5.261430715,
556907333,-5.183951325,
558240444,-5.099536608,
559573555,-5.005147065,
560906666,-4.907351748,
562239777,-4.805783947,
563572888,-4.6991246,
564906000,-4.579104767,
566239111,-4.463556257,
567572222,-4.354280956,
568905333,-4.253029381,
570238444,-4.160899361,
571571555,-4.081349436,
572904666,-4.014007704,
574237777,-3.9616287,
575570888,-3.927558278,
576904000,-3.902713644,
578237111,-3.892760591,
579570222,-3.888736934,
580903333,-3.904392542,
582236444,-3.923248604,
583569555,-3.953683984,
584902666,-3.985095364,
586235777,-4.018058412,
587568888,-4.0519161,
588902000,-4.078101578,
590235111,-4.098369372,
591568222,-4.112595243,
592901333,-4.117388903,
594234444,-4.116438857,
595567555,-4.108585391,
596900666,-4.092658214,
598233777,-4.074869637,
599566888,-4.05401449,
600900000,-4.019725137,
602233111,-3.987371392,
603566222,-3.955167534,
604899333,-3.93263867,
606232444,-3.925013655,
607565555,-3.930940963,
608898666,-3.947254051,
610231777,-3.977028486,
611564888,-4.018353892,
612898000,-4.066484936,
614231111,-4.130306297,
615564222,-4.204764259,
616897333,-4.290335884,
618230444,-4.390587422,
619563555,-4.490358597,
620896666,-4.596486751,
622229777,-4.701239953,
623562888,-4.809355552,
624896000,-4.90136453,
626229111,-4.991317542,
627562222,-5.074595882,
628895333,-5.14479698,
630228444,-5.201471526,
631561555,-5.251407559,
632894666,-5.289302088,
634227777,-5.318321255,
635560888,-5.347275886,
636894000,-5.358583036,
638227111,-5.369849634,
639560222,-5.387895813,
640893333,-5.412651426,
642226444,-5.452278314,
643559555,-5.498390824,
644892666,-5.545890338,
646225777,-5.591200829,
647558888,-5.634276778,
648892000,-5.667605233,
650225111,-5.706994989,
651558222,-5.754153293,
652891333,-5.815166488,
654224444,-5.881305249,
655557555,-5.946507555,
656890666,-6.006806261,
658223777,-6.05621497,
659556888,-6.10147025,
660890000,-6.118572686,
662223111,-6.123223398,
663556222,-6.110139931,
664889333,-6.082248626,
666222444,-6.031781168,
667555555,-5.966386725,
668888666,-5.884747855,
670221777,-5.781864869,
671554888,-5.638591451,
672888000,-5.477528375,
674221111,-5.3028184,
675554222,-5.116911179,
676887333,-4.927379886,
678220444,-4.744520539,
679553555,-4.571961402,
680886666,-4.416290726,
682219777,-4.287594787,
683552888,-4.175877416,
684886000,-4.085830147,
686219111,-4.005627535,
687552222,-3.949893132,
688885333,-3.914110284,
690218444,-3.896184283,
691551555,-3.890613175,
692884666,-3.901790741,
694217777,-3.915590279,
695550888,-3.945383057,
696884000,-3.975995176,
698217111,-4.014232555,
699550222,-4.060828096,
700883333,-4.099817291,
702216444,-4.139078235,
703549555,-4.16368621,
704882666,-4.186247758,
706215777,-4.195885803,
707548888,-4.196395424,
708882000,-4.179610061,
710215111,-4.151312916,
711548222,-4.110817102,
712881333,-4.056847951,
714214444,-4.008998645,
715547555,-3.944110085,
716880666,-3.893190864,
718213777,-3.838390896,
719546888,-3.793412463,
720880000,-3.748386462,
722213111,-3.715243772,
723546222,-3.692876765,
724879333,-3.681011158,
726212444,-3.677610819,
727545555,-3.692230914,
728878666,-3.707579627,
730211777,-3.732529621,
731544888,-3.77143374,
732878000,-3.803527034,
734211111,-3.843892796,
735544222,-3.887852681,
736877333,-3.934793852,
738210444,-3.979831933,
739543555,-4.025495083,
740876666,-4.06521652,
742209777,-4.107133535,
743542888,-4.134728109,
744876000,-4.153902066,
746209111,-4.160081584,
747542222,-4.163510602,
748875333,-4.155543926,
750208444,-4.142412911,
751541555,-4.124017711,
752874666,-4.104465164,
754207777,-4.083003145,
755540888,-4.065863439,
756874000,-4.039725187,
758207111,-4.018956822,
759540222,-4.004390267,
760873333,-3.999680514,
762206444,-3.994572901,
763539555,-3.997189717,
764872666,-4.010215905,
766205777,-4.036706433,
767538888,-4.070006333,
768872000,-4.104750013,
770205111,-4.149236148,
771538222,-4.197673566,
772871333,-4.243749184,
774204444,-4.295880343,
775537555,-4.342959432,
776870666,-4.382370041,
778203777,-4.413730773,
779536888,-4.433230004,
780870000,-4.442000343,
782203111,-4.42316613,
783536222,-4.391664969,
784869333,-4.355731824,
786202444,-4.296710274,
787535555,-4.232574424,
788868666,-4.159821417,
790201777,-4.08934651,
791534888,-4.019169513,
792868000,-3.953667901,
794201111,-3.897229004,
795534222,-3.864298438,
796867333,-3.829453718,
798200444,-3.812567187,
799533555,-3.814176877,
800866666,-3.830899499,
802199777,-3.873485995,
803532888,-3.922023655,
804866000,-3.989767442,
806199111,-4.061913203,
807532222,-4.151960693,
808865333,-4.249792032,
810198444,-4.349193031,
811531555,-4.452307379,
812864666,-4.543303489,
814197777,-4.626207063,
815530888,-4.689276427,
816864000,-4.742492056,
818197111,-4.773934593,
819530222,-4.791668679,
820863333,-4.788152797,
822196444,-4.774311497,
823529555,-4.750465383,
824862666,-4.71297649,
826195777,-4.667975217,
827528888,-4.617057172,
828862000,-4.561701749,
830195111,-4.504763062,
831528222,-4.454933012,
832861333,-4.414186056,
834194444,-4.38666358,
835527555,-4.361400942,
836860666,-4.36082716,
838193777,-4.354624639,
839526888,-4.357082633,
840860000,-4.364588786,
842193111,-4.382590126,
843526222,-4.420302083,
844859333,-4.464769269,
846192444,-4.516101705,
847525555,-4.573408555,
848858666,-4.630076493,
850191777,-4.680753616,
851524888,-4.728408727,
852858000,-4.763408821,
854191111,-4.789166495,
855524222,-4.796365175,
856857333,-4.794086275,
858190444,-4.775345773,
859523555,-4.746176348,
860856666,-4.707068272,
862189777,-4.656792524,
863522888,-4.599568966,
864856000,-4.529377541,
866189111,-4.453195984,
867522222,-4.36868197,
868855333,-4.29495878,
870188444,-4.223176059,
871521555,-4.160205813,
872854666,-4.102126851,
874187777,-4.054946704,
875520888,-4.019845377,
876854000,-3.992556232,
878187111,-3.983705497,
879520222,-3.995356866,
880853333,-4.011825327,
882186444,-4.051456956,
883519555,-4.098361826,
884852666,-4.155486756,
886185777,-4.223122899,
887518888,-4.297016143,
888852000,-4.36497734,
890185111,-4.436529863,
891518222,-4.505636455,
892851333,-4.564995446,
894184444,-4.611094146,
895517555,-4.647390874,
896850666,-4.666414766,
898183777,-4.673548819,
899516888,-4.662228027,
900850000,-4.624799018,
902183111,-4.57547596,
903516222,-4.519221579,
904849333,-4.457503409,
906182444,-4.396004037,
907515555,-4.339994755,
908848666,-4.286610205,
910181777,-4.24463631,
911514888,-4.215165677,
912848000,-4.196449021,
914181111,-4.191247461,
915514222,-4.198747326,
916847333,-4.215156722,
918180444,-4.256839604,
919513555,-4.303419808,
920846666,-4.359284655,
922179777,-4.414077756,
923512888,-4.469479323,
924846000,-4.51607244,
926179111,-4.553054552,
927512222,-4.580883027,
928845333,-4.599526897,
930178444,-4.60429389,
931511555,-4.589918757,
932844666,-4.557962175,
934177777,-4.514502175,
935510888,-4.451447333,
936844000,-4.371950908,
938177111,-4.282138141,
939510222,-4.181992812,
940843333,-4.079281158,
942176444,-3.982564551,
943509555,-3.884989062,
944842666,-3.801963887,
946175777,-3.726619531,
947508888,-3.663570363,
948842000,-3.606281081,
950175111,-3.558602599,
951508222,-3.535442558,
952841333,-3.520416092,
954174444,-3.523297519,
955507555,-3.539181808,
956840666,-3.565000936,
958173777,-3.604522983,
959506888,-3.654817027,
960840000,-3.708610265,
962173111,-3.77327584,
963506222,-3.839515781,
964839333,-3.914696518,
966172444,-3.987157125,
967505555,-4.058109721,
968838666,-4.124058987,
970171777,-4.183175659,
971504888,-4.225189443,
972838000,-4.247977994,
974171111,-4.256106091,
975504222,-4.240816446,
976837333,-4.20275719,
978170444,-4.153916533,
979503555,-4.09506398,
980836666,-4.032568319,
982169777,-3.963323896,
983502888,-3.887315394,
984836000,-3.817104728,
986169111,-3.75347476,
987502222,-3.707095428,
988835333,-3.675698096,
990168444,-3.666913587,
991501555,-3.672145897,
992834666,-3.691911174,
994167777,-3.729294491,
995500888,-3.781777478,
996834000,-3.83712539,
998167111,-3.903163649,
999500222,-3.973713213,
1000833333,-4.062080526,
1002166444,-4.126862646,
1003499555,-4.203214145,
1004832666,-4.276906773,
1006165777,-4.332354808,
1007498888,-4.382051253,
1008832000,-4.409126782,
1010165111,-4.417258607,
1011498222,-4.409314814,
1012831333,-4.393072025,
1014164444,-4.359598244,
1015497555,-4.317498427,
1016830666,-4.274635597,
1018163777,-4.216410902,
1019496888,-4.166247125,
1020830000,-4.11001194,
1022163111,-4.065468114,
1023496222,-4.028100639,
1024829333,-4.002955463,
1026162444,-3.981129562,
1027495555,-3.981667474,
1028828666,-3.992898159,
1030161777,-4.01398379,
1031494888,-4.037790214,
1032828000,-4.081602391,
1034161111,-4.122539243,
1035494222,-4.173904459,
1036827333,-4.229734217,
1038160444,-4.285182128,
1039493555,-4.343567653,
1040826666,-4.402833153,
1042159777,-4.454540765,
1043492888,-4.494709529,
1044826000,-4.524705303,
1046159111,-4.544394902,
1047492222,-4.556044438,
1048825333,-4.554584141,
1050158444,-4.537331771,
1051491555,-4.507583074,
1052824666,-4.469714176,
1054157777,-4.424299609,
1055490888,-4.365579912,
1056824000,-4.304600832,
1058157111,-4.226734126,
1059490222,-4.16230167,
1060823333,-4.093240631,
1062156444,-4.03099814,
1063489555,-3.971031684,
1064822666,-3.920477786,
1066155777,-3.882970375,
1067488888,-3.836192514,
1068822000,-3.810899067,
1070155111,-3.789153958,
1071488222,-3.779784866,
1072821333,-3.78717878,
1074154444,-3.797174104,
1075487555,-3.813271202,
1076820666,-3.833904099,
1078153777,-3.861604926,
1079486888,-3.880442975,
1080820000,-3.902839576,
1082153111,-3.917582258,
1083486222,-3.938465308,
1084819333,-3.945175487,
1086152444,-3.963295765,
1087485555,-3.966482424,
1088818666,-3.952248149,
1090151777,-3.930140816,
1091484888,-3.915984598,
1092818000,-3.8831048,
1094151111,-3.84857478,
1095484222,-3.818814758,
1096817333,-3.796245122,
1098150444,-3.775698275,
1099483555,-3.775638132,
1100816666,-3.783523589,
1102149777,-3.808578861,
1103482888,-3.836661249,
1104816000,-3.873371835,
1106149111,-3.925892018,
1107482222,-3.985329947,
1108815333,-4.045321889,
1110148444,-4.125232057,
1111481555,-4.202216141,
1112814666,-4.26085488,
1114147777,-4.317842761,
1115480888,-4.344489105,
1116814000,-4.360061162,
1118147111,-4.347215059,
1119480222,-4.31059541,
1120813333,-4.254412292,
1122146444,-4.180043259,
1123479555,-4.101076744,
1124812666,-4.001795089,
1126145777,-3.901571605,
1127478888,-3.793273729,
1128812000,-3.686350108,
1130145111,-3.590189661,
1131478222,-3.501887205,
1132811333,-3.423302206,
1134144444,-3.361755989,
1135477555,-3.321240145,
1136810666,-3.305592302,
1138143777,-3.304111397,
1139476888,-3.31355055,
1140810000,-3.335112855,
1142143111,-3.380022725,
1143476222,-3.444371249,
1144809333,-3.512989648,
1146142444,-3.590536242,
1147475555,-3.674181986,
1148808666,-3.764676368,
1150141777,-3.858268033,
1151474888,-3.948113556,
1152808000,-4.034062687,
1154141111,-4.116487442,
1155474222,-4.18917327,
1156807333,-4.24992721,
1158140444,-4.295824422,
1159473555,-4.318916781,
1160806666,-4.31882891,
1162139777,-4.31228288,
1163472888,-4.286486176,
1164806000,-4.227229853,
1166139111,-4.169978443,
1167472222,-4.108996046,
1168805333,-4.035063064,
1170138444,-3.967996955,
1171471555,-3.897690544,
1172804666,-3.837246983,
1174137777,-3.78212895,
1175470888,-3.742902284,
1176804000,-3.715065927,
1178137111,-3.702871953,
1179470222,-3.705231937,
1180803333,-3.730950754,
1182136444,-3.770990496,
1183469555,-3.828698126,
1184802666,-3.897655161,
1186135777,-3.984884004,
1187468888,-4.074460421,
1188802000,-4.164954625,
1190135111,-4.269605431,
1191468222,-4.379164234,
1192801333,-4.485343384,
1194134444,-4.57543391,
1195467555,-4.641342845,
1196800666,-4.699375683,
1198133777,-4.717150578,
1199466888,-4.691318736,
1200800000,-4.633981851,
1202133111,-4.543941131,
1203466222,-4.428998763,
1204799333,-4.298274294,
1206132444,-4.15851672,
1207465555,-4.024799232,
1208798666,-3.896696371,
1210131777,-3.791482976,
1211464888,-3.68863209,
1212798000,-3.612557699,
1214131111,-3.551880736,
1215464222,-3.517121785,
1216797333,-3.500462981,
1218130444,-3.519774269,
1219463555,-3.552157012,
1220796666,-3.613588336,
1222129777,-3.695861994,
1223462888,-3.787605084,
1224796000,-3.885543343,
1226129111,-3.990142513,
1227462222,-4.108471826,
1228795333,-4.224462762,
1230128444,-4.340549363,
1231461555,-4.449463367,
1232794666,-4.552324374,
1234127777,-4.640667647,
1235460888,-4.716903017,
1236794000,-4.760812697,
1238127111,-4.789840972,
1239460222,-4.791663548,
1240793333,-4.767038477,
1242126444,-4.709541437,
1243459555,-4.6394472,
1244792666,-4.553199995,
1246125777,-4.465823091,
1247458888,-4.359620588,
1248792000,-4.268155875,
1250125111,-4.163904591,
1251458222,-4.085462044,
1252791333,-4.014231721,
1254124444,-3.951213705,
1255457555,-3.902779813,
1256790666,-3.861724644,
1258123777,-3.836728071,
1259456888,-3.817398501,
1260790000,-3.811707273,
1262123111,-3.819757413,
1263456222,-3.843457204,
1264789333,-3.882185175,
1266122444,-3.926142464,
1267455555,-3.980948916,
1268788666,-4.046636288,
1270121777,-4.113568618,
1271454888,-4.177980652,
1272788000,-4.247089902,
1274121111,-4.33265118,
1275454222,-4.420884326,
1276787333,-4.502862279,
1278120444,-4.599427072,
1279453555,-4.686552703,
1280786666,-4.767620126,
1282119777,-4.852306254,
1283452888,-4.903398655,
1284786000,-4.938452905,
1286119111,-4.967602961,
1287452222,-4.994289794,
1288785333,-5.025500682,
1290118444,-5.047170748,
1291451555,-5.084026431,
1292784666,-5.126818122,
1294117777,-5.177169083,
1295450888,-5.218456847,
1296784000,-5.266009426,
1298117111,-5.317515572,
1299450222,-5.360613702,
1300783333,-5.426532542,
1302116444,-5.490351745,
1303449555,-5.545519173,
1304782666,-5.598406746,
1306115777,-5.63909322,
1307448888,-5.657365289,
1308782000,-5.672101594,
1310115111,-5.665751337,
1311448222,-5.636404223,
1312781333,-5.596305034,
1314114444,-5.543231031,
1315447555,-5.492742616,
1316780666,-5.435392056,
1318113777,-5.385811302,
1319446888,-5.323356781,
1320780000,-5.291621051,
1322113111,-5.258168499,
1323446222,-5.236837696,
1324779333,-5.2369719,
1326112444,-5.252833471,
1327445555,-5.28523729,
1328778666,-5.349621774,
1330111777,-5.438125165,
1331444888,-5.532741269,
1332778000,-5.64723267,
1334111111,-5.788703914,
1335444222,-5.942447149,
1336777333,-6.099775166,
1338110444,-6.270105454,
1339443555,-6.4402542,
1340776666,-6.614110411,
1342109777,-6.788830922,
1343442888,-6.957974619,
1344776000,-7.124286422,
1346109111,-7.282022101,
1347442222,-7.425902692,
1348775333,-7.557128892,
1350108444,-7.667748167,
1351441555,-7.763698026,
1352774666,-7.834722469,
1354107777,-7.906421347,
1355440888,-7.960606338,
1356774000,-8.020084165,
1358107111,-8.081665959,
1359440222,-8.151280288,
1360773333,-8.224697322,
1362106444,-8.291849037,
1363439555,-8.388575336,
1364772666,-8.482153744,
1366105777,-8.590307689,
1367438888,-8.702742449,
1368772000,-8.853699461,
1370105111,-9.030851696,
1371438222,-9.245234487,
1372771333,-9.4873397,
1374104444,-9.753374391,
1375437555,-10.03872462,
1376770666,-10.32352438,
1378103777,-10.62419324,
1379436888,-10.89275008,
1380770000,-11.1788152,
1382103111,-11.42334483,
1383436222,-11.65995927,
1384769333,-11.86783344,
1386102444,-12.04147655,
1387435555,-12.17404376,
1388768666,-12.27584092,
1390101777,-12.33145647,
1391434888,-12.3457726,
1392768000,-12.32994688,
1394101111,-12.29935555,
1395434222,-12.27092871,
1396767333,-12.2579936,
1398100444,-12.25625769,
1399433555,-12.27856365,
1400766666,-12.32143937,
1402099777,-12.37935032,
1403432888,-12.46101802,
1404766000,-12.5602974,
1406099111,-12.66369976,
1407432222,-12.7767479,
1408765333,-12.88778184,
1410098444,-13.00581979,
1411431555,-13.14520998,
1412764666,-13.27904451,
1414097777,-13.43642115,
1415430888,-13.58860891,
1416764000,-13.7285045,
1418097111,-13.86710345,
1419430222,-13.98789685,
1420763333,-14.05488614,
1422096444,-14.0738367,
1423429555,-14.02264076,
1424762666,-13.89474831,
1426095777,-13.68794385,
1427428888,-13.41203233,
1428762000,-13.06994041,
1430095111,-12.6671132,
1431428222,-12.23984731,
1432761333,-11.79338647,
1434094444,-11.3414627,
1435427555,-10.8934256,
1436760666,-10.47822596,
1438093777,-10.10994385,
1439426888,-9.747213429,
1440760000,-9.433981351,
1442093111,-9.170737181,
1443426222,-8.934600823,
1444759333,-8.745465298,
1446092444,-8.579967555,
1447425555,-8.462331269,
1448758666,-8.369637513,
1450091777,-8.294959983,
1451424888,-8.251376175,
1452758000,-8.232832069,
1454091111,-8.236044491,
1455424222,-8.255473306,
1456757333,-8.299696236,
1458090444,-8.349406385,
1459423555,-8.416831926,
1460756666,-8.484817253,
1462089777,-8.558086104,
1463422888,-8.612282196,
1464756000,-8.661370272,
1466089111,-8.719932155,
1467422222,-8.767359759,
1468755333,-8.77847962,
1470088444,-8.804445695,
1471421555,-8.786924385,
1472754666,-8.775189459,
1474087777,-8.720683827,
1475420888,-8.67401193,
1476754000,-8.617329595,
1478087111,-8.53774336,
1479420222,-8.456749834,
1480753333,-8.375241437,
1482086444,-8.310252008,
1483419555,-8.255745472,
1484752666,-8.220883511,
1486085777,-8.208527026,
1487418888,-8.210100503,
1488752000,-8.245367076,
1490085111,-8.281595435,
1491418222,-8.330287432,
1492751333,-8.388148839,
1494084444,-8.462701801,
1495417555,-8.538811226,
1496750666,-8.606206866,
1498083777,-8.672937262,
1499416888,-8.7439654,
1500750000,-8.754741885,
1502083111,-8.793823308,
1503416222,-8.766393173,
1504749333,-8.720959997,
